metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc,train_group_weights
1.0,,,,,5,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",5,0.2285151491165161,0.966125,0.9072063732503015,0.18044545111362778,"[0.9655454545454546, 0.18044545111362778]","[0.8308516196447231, 0.9773544212796549, 0.888748419721871, 0.899930216329379, 0.9208842350203607, 0.9176432814255899, 0.9309696092619392, 0.9094028826355525, 0.9125204218030596, 0.8796389167502507]","[[0.9770874980778103, 0.9819446301992778, 0.9520485584218513, 0.9557929090639371, 0.9845890410958904, 0.965330627431084, 0.9868746139592341, 0.9589438560858843, 0.9556420233463035, 0.9361085696858799], [0.006071118820468344, 0.9378596087456847, 0.1001890359168242, 0.01179245283018868, 0.015486725663716814, 0.02531645569620253, 0.0967741935483871, 0.03826530612244898, 0.012987012987012988, 0.0]]",
metrics_version,mnist_size,usps_size,mnist28_size,mnist32_size,num_epochs,batch_size,seed,groups,train_dataset_summary,test_dataset_summary,epoch,train_loss,train_acc,test_acc,worst_group_acc,per_group_acc,per_class_acc,per_group_by_class_acc,train_group_weights
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",1,1.3540343260765075,0.62675,0.7979326208308788,0.1849754624386561,"[0.8471363636363637, 0.1849754624386561]","[0.7411180773249739, 0.8513060148574167, 0.8363534204242169, 0.6608513607815771, 0.6835369400814427, 0.9126665596403917, 0.8633863965267728, 0.8621825669183253, 0.7705331947126095, 0.8028370826766013]","[[0.8719052744886975, 0.9495787080379832, 0.8517450682852807, 0.70212134698116, 0.7310087173100872, 0.9149331980382208, 0.9209388511426807, 0.8615987233425214, 0.806692607003891, 0.8543763342482464], [0.003469210754553339, 0.005753739930955121, 0.6446124763705104, 0.0047169811320754715, 0.008849557522123894, 0.870253164556962, 0.004608294930875576, 0.8724489795918368, 0.016233766233766232, 0.0]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",2,0.5230208928585053,0.887,0.861679149485259,0.16157040392600983,"[0.9178787878787878, 0.16157040392600983]","[0.8133490073145245, 0.8777857656362329, 0.8725944655148195, 0.7416608513607815, 0.8917975567190227, 0.908010916680045, 0.8945007235890015, 0.9148936170212766, 0.8722709045002228, 0.8382289726321822]","[[0.9566353990465939, 0.9434265079577371, 0.9336874051593324, 0.7875686099985165, 0.9299501867995019, 0.9563673262303399, 0.9533662754786906, 0.9171623386043812, 0.913307392996109, 0.8920402561756633], [0.005203816131830009, 0.3130034522439586, 0.11153119092627599, 0.01179245283018868, 0.3495575221238938, 0.0031645569620253164, 0.016129032258064516, 0.875, 0.016233766233766232, 0.0]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",3,0.3661041898727417,0.93125,0.8794636595696934,0.06058890147225368,"[0.9451969696969696, 0.06058890147225368]","[0.8226227795193313, 0.8854541097531752, 0.8693636746734091, 0.8367062107466853, 0.8848167539267016, 0.9304864344196501, 0.9115774240231549, 0.927522306108442, 0.8875686915193821, 0.8482590629029947]","[[0.9675534368752883, 0.976327404039053, 0.9300455235204856, 0.888592197003412, 0.9461394769613948, 0.975985117537629, 0.9661828289067326, 0.9692441607427825, 0.9284046692607004, 0.902714242146996], [0.005203816131830009, 0.10356731875719218, 0.11342155009451796, 0.01179245283018868, 0.01327433628318584, 0.07911392405063292, 0.0967741935483871, 0.19387755102040816, 0.03571428571428571, 0.0]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",4,0.2792773797512054,0.95425,0.9014979382310864,0.19950924877312193,"[0.9578484848484848, 0.19950924877312193]","[0.8386886102403344, 0.980110232446681, 0.8717516505127124, 0.8842986741102582, 0.9057591623036649, 0.8828062289292021, 0.9230101302460203, 0.9249142072752231, 0.9099955443338779, 0.8829345178392319]","[[0.9863140089189605, 0.9811421693192457, 0.9305007587253414, 0.9390298175344904, 0.9685554171855542, 0.9289700659563673, 0.9703520691785052, 0.975337298708835, 0.9529961089494163, 0.9394632509911558], [0.006071118820468344, 0.9712313003452244, 0.13988657844990549, 0.014150943396226415, 0.01327433628318584, 0.0189873417721519, 0.21658986175115208, 0.03826530612244898, 0.012987012987012988, 0.0023752969121140144]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",5,0.2285151491165161,0.966125,0.9072063732503015,0.18044545111362778,"[0.9655454545454546, 0.18044545111362778]","[0.8308516196447231, 0.9773544212796549, 0.888748419721871, 0.899930216329379, 0.9208842350203607, 0.9176432814255899, 0.9309696092619392, 0.9094028826355525, 0.9125204218030596, 0.8796389167502507]","[[0.9770874980778103, 0.9819446301992778, 0.9520485584218513, 0.9557929090639371, 0.9845890410958904, 0.965330627431084, 0.9868746139592341, 0.9589438560858843, 0.9556420233463035, 0.9361085696858799], [0.006071118820468344, 0.9378596087456847, 0.1001890359168242, 0.01179245283018868, 0.015486725663716814, 0.02531645569620253, 0.0967741935483871, 0.03826530612244898, 0.012987012987012988, 0.0]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",6,0.19548694550991058,0.970125,0.9109231675502819,0.18724046810117026,"[0.9690151515151515, 0.18724046810117026]","[0.8301985370950888, 0.9739995207284927, 0.9008287680854052, 0.8918353105373342, 0.9054682955206516, 0.921496227323808, 0.9277858176555717, 0.9260123541523679, 0.9218773206594386, 0.9068634474853131]","[[0.976318622174381, 0.97900227363916, 0.9635811836115327, 0.9471888443851061, 0.9680884184308842, 0.9698968374767462, 0.9788449660284126, 0.976642971130132, 0.9645136186770428, 0.9650808173223544], [0.006071118820468344, 0.9309551208285386, 0.11909262759924386, 0.01179245283018868, 0.015486725663716814, 0.015822784810126583, 0.16589861751152074, 0.03571428571428571, 0.032467532467532464, 0.0]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",7,0.16832849395275115,0.975875,0.906603270778984,0.10758776896942242,"[0.9707424242424243, 0.10758776896942242]","[0.8392110762800418, 0.8913251857177091, 0.9074308189352437, 0.9038381018841591, 0.9152123327515997, 0.9396371809279178, 0.9376266280752532, 0.9346602608098833, 0.902717956334472, 0.9065768734775755]","[[0.9869291096417039, 0.9868931389594757, 0.9564491654021244, 0.9599465954606141, 0.9786737235367372, 0.9841028242854727, 0.9763743051266214, 0.9759175975627448, 0.9368093385214008, 0.9641659042390973], [0.006071118820468344, 0.06904487917146145, 0.29678638941398866, 0.01179245283018868, 0.01327433628318584, 0.10759493670886076, 0.35944700460829493, 0.20918367346938777, 0.19155844155844157, 0.009501187648456057]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",8,0.14806339234113694,0.9795,0.9080198603046369,0.1309928274820687,"[0.9703939393939394, 0.1309928274820687]","[0.8363375130616509, 0.9204409297867242, 0.9043404972608512, 0.9021632937892533, 0.9187027341477604, 0.931770749719056, 0.9350217076700434, 0.9310912834591627, 0.8941036684984405, 0.9124516406361943]","[[0.9835460556666155, 0.988899291159556, 0.9614567526555386, 0.9581664441477525, 0.9814757160647571, 0.9797057331303907, 0.967881408276714, 0.9789641665457711, 0.9308949416342412, 0.970722781335773], [0.006071118820468344, 0.33141542002301494, 0.19281663516068054, 0.01179245283018868, 0.02654867256637168, 0.03481012658227848, 0.4447004608294931, 0.08928571428571429, 0.1266233766233766, 0.004750593824228029]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",9,0.1317150518298149,0.982875,0.9131111672136666,0.14269535673839184,"[0.9749545454545454, 0.14269535673839184]","[0.8346394984326019, 0.9078600527198658, 0.9174041297935103, 0.9109560362875088, 0.9187027341477604, 0.9287205008829668, 0.9551374819102749, 0.9397391901166781, 0.9203920986187435, 0.907436595500788]","[[0.9815469783176995, 0.983148321519326, 0.975113808801214, 0.9675122385402759, 0.9791407222914073, 0.9776763064434297, 0.9868746139592341, 0.9762077469896997, 0.9579766536964981, 0.9635559621835925], [0.006071118820468344, 0.2600690448791715, 0.19848771266540643, 0.01179245283018868, 0.059734513274336286, 0.012658227848101266, 0.4815668202764977, 0.29846938775510207, 0.13636363636363635, 0.0332541567695962]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",10,0.11463198077678681,0.98575,0.918132345928357,0.23103057757644394,"[0.9732878787878788, 0.23103057757644394]","[0.8423458725182863, 0.911694224778337, 0.9196516364657957, 0.9138869504535938, 0.912739965095986, 0.9396371809279178, 0.9464544138929089, 0.946328071379547, 0.9342046635972078, 0.9249176099727755]","[[0.990619713978164, 0.9840845258793633, 0.9581183611532625, 0.9706275033377837, 0.973225404732254, 0.975985117537629, 0.980852378011118, 0.9596692296532714, 0.9606225680933852, 0.9786520280573345], [0.006071118820468344, 0.28883774453394706, 0.44045368620037806, 0.01179245283018868, 0.05309734513274336, 0.25949367088607594, 0.43317972350230416, 0.7117346938775511, 0.38311688311688313, 0.08788598574821853]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",11,0.10294429332017899,0.98675,0.9163791410698757,0.20290675726689317,"[0.9736515151515152, 0.20290675726689317]","[0.8382967607105538, 0.9318236280853103, 0.9081331647703329, 0.9112351709699931, 0.9194299011052938, 0.9280783432332638, 0.9437047756874095, 0.9578586135895676, 0.9092529333135304, 0.9203324258489755]","[[0.985852683376903, 0.991574160759663, 0.9610015174506829, 0.9678089304257529, 0.9813200498132005, 0.9727718586166074, 0.9876466954910439, 0.9738865515740607, 0.9335408560311284, 0.9783470570295821], [0.006071118820468344, 0.4177215189873418, 0.2495274102079395, 0.01179245283018868, 0.03982300884955752, 0.09177215189873418, 0.2880184331797235, 0.6760204081632653, 0.4025974025974026, 0.0166270783847981]]",
1.0,,,,,12,128,1337,"[""mnist28"", ""usps16""]","{""total"": 8000, ""class_counts"": [800, 800, 800, 800, 800, 800, 800, 800, 800, 800], ""group_counts"": [4000, 4000], ""group_class_counts"": [[400, 400, 400, 400, 400, 400, 400, 400, 400, 400], [400, 400, 400, 400, 400, 400, 400, 400, 400, 400]]}","{""total"": 71298, ""class_counts"": [7656, 8346, 7119, 7165, 6876, 6229, 6910, 7285, 6733, 6979], ""group_counts"": [66000, 5298], ""group_class_counts"": [[6503, 7477, 6590, 6741, 6424, 5913, 6476, 6893, 6425, 6558], [1153, 869, 529, 424, 452, 316, 434, 392, 308, 421]]}",12,0.08924006879329681,0.990125,0.9249908833347359,0.2721781804454511,"[0.9773939393939394, 0.2721781804454511]","[0.8379049111807733, 0.9670500838725138, 0.9203539823008849, 0.9172365666434055, 0.91695753344968, 0.9499117033231659, 0.9309696092619392, 0.9688400823610158, 0.9258874201693154, 0.916033815732913]","[[0.9853913578348454, 0.9874281128794972, 0.974051593323217, 0.9741878059635068, 0.9788293897882939, 0.9844410620666328, 0.9827053736874614, 0.9789641665457711, 0.9567315175097276, 0.9702653247941445], [0.006071118820468344, 0.7917146144994246, 0.2514177693761815, 0.01179245283018868, 0.03761061946902655, 0.3037974683544304, 0.15898617511520738, 0.7908163265306123, 0.2824675324675325, 0.07125890736342043]]",
